2,1.0,2,0
176,1.0,19,0
304,1.0,8,0
317,1.0,4,0
353,1.0,8,0
441,1.0,14,0
459,1.0,13,0
587,1.0,17,0
658,1.0,13,0
789,1.0,8,0
822,1.0,18,0
915,1.0,13,0
1238,1.0,2,0
1626,1.0,11,0
1828,1.0,17,0
1979,1.0,17,0
2076,1.0,14,0
2126,1.0,8,0
2264,1.0,7,0
2500,1.0,8,0
2531,1.0,1,0
2537,1.0,7,0
2640,1.0,2,0
2936,1.0,0,0
3007,1.0,7,0
3057,1.0,3,0
3294,1.0,4,0
3332,1.0,15,0
3458,1.0,10,0
3520,1.0,15,0
3535,1.0,8,0
3594,1.0,3,0
3708,1.0,0,0
3757,1.0,14,0
3780,1.0,1,0
3936,1.0,4,0
4055,1.0,13,0
4142,1.0,8,0
4251,1.0,16,0
4344,1.0,11,0
4398,1.0,13,0
4480,1.0,8,0
4691,1.0,3,0
4726,1.0,2,0
4757,1.0,12,0
4767,1.0,13,0
5077,1.0,1,0
5129,1.0,0,0
5153,1.0,15,0
5239,1.0,13,0
5483,1.0,15,0
5649,1.0,0,0
5792,1.0,15,0
5914,1.0,1,0
5950,1.0,0,0
6241,1.0,2,0
6247,1.0,0,0
6294,1.0,3,0
6389,1.0,14,0
6416,1.0,0,0
6438,1.0,8,0
6607,1.0,4,0
6803,1.0,19,0
6851,1.0,4,0
7025,1.0,4,0
7136,1.0,3,0
7143,1.0,17,0
7155,1.0,19,0
7234,1.0,1,0
7266,1.0,7,0
7452,1.0,8,0
7498,1.0,4,0
7577,1.0,3,0
7923,1.0,2,0
8012,1.0,4,0
8045,1.0,9,0
8065,1.0,2,0
8106,1.0,0,0
8180,1.0,19,0
8409,1.0,4,0
8512,1.0,6,0
8617,1.0,19,0
8637,1.0,15,0
8847,1.0,2,0
8957,1.0,19,0
9062,1.0,7,0
9236,1.0,8,0
9324,1.0,4,0
9404,1.0,4,0
9426,1.0,11,0
9470,1.0,8,0
9665,1.0,2,0
10037,1.0,7,0
10221,1.0,13,0
10382,1.0,1,0
10488,1.0,14,0
10958,1.0,4,0
10970,1.0,18,0
11048,1.0,19,0
11058,1.0,5,0
11065,1.0,3,0
